day,metric,mean,q025,q975,date,specialty
0,nwl104_total,0,0,0,14/11/2022,Gynaecology
0,nwl52_total,185,185,185,14/11/2022,Gynaecology
0,nwm104_total,0,0,0,14/11/2022,Gynaecology
0,nwm52_total,65,65,65,14/11/2022,Gynaecology
0,nwm78_total,15,15,15,14/11/2022,Gynaecology
0,wl_Deferred,0,0,0,14/11/2022,Gynaecology
0,wl_Planned,3,3,3,14/11/2022,Gynaecology
0,wl_size_active,250,250,250,14/11/2022,Gynaecology
1,nwl104_total,0,0,0,15/11/2022,Gynaecology
1,nwl52_total,181,181,181,15/11/2022,Gynaecology
1,nwm104_total,0,0,0,15/11/2022,Gynaecology
1,nwm52_total,68,68,68,15/11/2022,Gynaecology
1,nwm78_total,12,12,12,15/11/2022,Gynaecology
1,wl_Deferred,0,0,0,15/11/2022,Gynaecology
1,wl_Planned,0,0,0,15/11/2022,Gynaecology
1,wl_size_active,249,249,249,15/11/2022,Gynaecology
2,nwl104_total,0,0,0,16/11/2022,Gynaecology
2,nwl52_total,183,183,183,16/11/2022,Gynaecology
2,nwm104_total,0,0,0,16/11/2022,Gynaecology
2,nwm52_total,66,66,66,16/11/2022,Gynaecology
2,nwm78_total,10,10,10,16/11/2022,Gynaecology
2,wl_Deferred,0,0,0,16/11/2022,Gynaecology
2,wl_Planned,0,0,0,16/11/2022,Gynaecology
2,wl_size_active,249,249,249,16/11/2022,Gynaecology
3,nwl104_total,0,0,0,17/11/2022,Gynaecology
3,nwl52_total,189,189,189,17/11/2022,Gynaecology
3,nwm104_total,0,0,0,17/11/2022,Gynaecology
3,nwm52_total,65,65,65,17/11/2022,Gynaecology
3,nwm78_total,9,9,9,17/11/2022,Gynaecology
3,wl_Deferred,0,0,0,17/11/2022,Gynaecology
3,wl_Planned,0,0,0,17/11/2022,Gynaecology
3,wl_size_active,254,254,254,17/11/2022,Gynaecology
4,nwl104_total,0,0,0,18/11/2022,Gynaecology
4,nwl52_total,191,191,191,18/11/2022,Gynaecology
4,nwm104_total,0,0,0,18/11/2022,Gynaecology
4,nwm52_total,63,63,63,18/11/2022,Gynaecology
4,nwm78_total,9,9,9,18/11/2022,Gynaecology
4,wl_Deferred,0,0,0,18/11/2022,Gynaecology
4,wl_Planned,0,0,0,18/11/2022,Gynaecology
4,wl_size_active,254,254,254,18/11/2022,Gynaecology
5,nwl104_total,0,0,0,19/11/2022,Gynaecology
5,nwl52_total,193,193,193,19/11/2022,Gynaecology
5,nwm104_total,0,0,0,19/11/2022,Gynaecology
5,nwm52_total,61,61,61,19/11/2022,Gynaecology
5,nwm78_total,9,9,9,19/11/2022,Gynaecology
5,wl_Deferred,0,0,0,19/11/2022,Gynaecology
5,wl_Planned,0,0,0,19/11/2022,Gynaecology
5,wl_size_active,254,254,254,19/11/2022,Gynaecology
6,nwl104_total,0,0,0,20/11/2022,Gynaecology
6,nwl52_total,193,193,193,20/11/2022,Gynaecology
6,nwm104_total,0,0,0,20/11/2022,Gynaecology
6,nwm52_total,59,59,59,20/11/2022,Gynaecology
6,nwm78_total,9,9,9,20/11/2022,Gynaecology
6,wl_Deferred,0,0,0,20/11/2022,Gynaecology
6,wl_Planned,0,0,0,20/11/2022,Gynaecology
6,wl_size_active,252,252,252,20/11/2022,Gynaecology
7,nwl104_total,0,0,0,21/11/2022,Gynaecology
7,nwl52_total,195,195,195,21/11/2022,Gynaecology
7,nwm104_total,0,0,0,21/11/2022,Gynaecology
7,nwm52_total,59,59,59,21/11/2022,Gynaecology
7,nwm78_total,9,9,9,21/11/2022,Gynaecology
7,wl_Deferred,0,0,0,21/11/2022,Gynaecology
7,wl_Planned,0,0,0,21/11/2022,Gynaecology
7,wl_size_active,254,254,254,21/11/2022,Gynaecology
8,nwl104_total,0,0,0,22/11/2022,Gynaecology
8,nwl52_total,196,196,196,22/11/2022,Gynaecology
8,nwm104_total,0,0,0,22/11/2022,Gynaecology
8,nwm52_total,60,60,60,22/11/2022,Gynaecology
8,nwm78_total,12,12,12,22/11/2022,Gynaecology
8,wl_Deferred,0,0,0,22/11/2022,Gynaecology
8,wl_Planned,0,0,0,22/11/2022,Gynaecology
8,wl_size_active,256,256,256,22/11/2022,Gynaecology
9,nwl104_total,0,0,0,23/11/2022,Gynaecology
9,nwl52_total,196,196,196,23/11/2022,Gynaecology
9,nwm104_total,0,0,0,23/11/2022,Gynaecology
9,nwm52_total,60,60,60,23/11/2022,Gynaecology
9,nwm78_total,12,12,12,23/11/2022,Gynaecology
9,wl_Deferred,0,0,0,23/11/2022,Gynaecology
9,wl_Planned,0,0,0,23/11/2022,Gynaecology
9,wl_size_active,256,256,256,23/11/2022,Gynaecology
10,nwl104_total,0,0,0,24/11/2022,Gynaecology
10,nwl52_total,198,198,198,24/11/2022,Gynaecology
10,nwm104_total,0,0,0,24/11/2022,Gynaecology
10,nwm52_total,60,60,60,24/11/2022,Gynaecology
10,nwm78_total,12,12,12,24/11/2022,Gynaecology
10,wl_Deferred,0,0,0,24/11/2022,Gynaecology
10,wl_Planned,0,0,0,24/11/2022,Gynaecology
10,wl_size_active,258,258,258,24/11/2022,Gynaecology
11,nwl104_total,0,0,0,25/11/2022,Gynaecology
11,nwl52_total,199,199,199,25/11/2022,Gynaecology
11,nwm104_total,0,0,0,25/11/2022,Gynaecology
11,nwm52_total,60,60,60,25/11/2022,Gynaecology
11,nwm78_total,12,12,12,25/11/2022,Gynaecology
11,wl_Deferred,0,0,0,25/11/2022,Gynaecology
11,wl_Planned,0,0,0,25/11/2022,Gynaecology
11,wl_size_active,259,259,259,25/11/2022,Gynaecology
12,nwl104_total,0,0,0,26/11/2022,Gynaecology
12,nwl52_total,201,201,201,26/11/2022,Gynaecology
12,nwm104_total,0,0,0,26/11/2022,Gynaecology
12,nwm52_total,60,60,60,26/11/2022,Gynaecology
12,nwm78_total,12,12,12,26/11/2022,Gynaecology
12,wl_Deferred,0,0,0,26/11/2022,Gynaecology
12,wl_Planned,0,0,0,26/11/2022,Gynaecology
12,wl_size_active,261,261,261,26/11/2022,Gynaecology
13,nwl104_total,0,0,0,27/11/2022,Gynaecology
13,nwl52_total,207,207,207,27/11/2022,Gynaecology
13,nwm104_total,0,0,0,27/11/2022,Gynaecology
13,nwm52_total,60,60,60,27/11/2022,Gynaecology
13,nwm78_total,12,12,12,27/11/2022,Gynaecology
13,wl_Deferred,0,0,0,27/11/2022,Gynaecology
13,wl_Planned,0,0,0,27/11/2022,Gynaecology
13,wl_size_active,267,267,267,27/11/2022,Gynaecology
14,nwl104_total,0,0,0,28/11/2022,Gynaecology
14,nwl52_total,208,208,208,28/11/2022,Gynaecology
14,nwm104_total,0,0,0,28/11/2022,Gynaecology
14,nwm52_total,60,60,60,28/11/2022,Gynaecology
14,nwm78_total,12,12,12,28/11/2022,Gynaecology
14,wl_Deferred,0,0,0,28/11/2022,Gynaecology
14,wl_Planned,0,0,0,28/11/2022,Gynaecology
14,wl_size_active,268,268,268,28/11/2022,Gynaecology
15,nwl104_total,0,0,0,29/11/2022,Gynaecology
15,nwl52_total,206,206,206,29/11/2022,Gynaecology
15,nwm104_total,0,0,0,29/11/2022,Gynaecology
15,nwm52_total,61,61,61,29/11/2022,Gynaecology
15,nwm78_total,13,13,13,29/11/2022,Gynaecology
15,wl_Deferred,0,0,0,29/11/2022,Gynaecology
15,wl_Planned,0,0,0,29/11/2022,Gynaecology
15,wl_size_active,267,267,267,29/11/2022,Gynaecology
16,nwl104_total,0,0,0,30/11/2022,Gynaecology
16,nwl52_total,205,205,205,30/11/2022,Gynaecology
16,nwm104_total,0,0,0,30/11/2022,Gynaecology
16,nwm52_total,60,60,60,30/11/2022,Gynaecology
16,nwm78_total,12,12,12,30/11/2022,Gynaecology
16,wl_Deferred,0,0,0,30/11/2022,Gynaecology
16,wl_Planned,0,0,0,30/11/2022,Gynaecology
16,wl_size_active,265,265,265,30/11/2022,Gynaecology
17,nwl104_total,0,0,0,01/12/2022,Gynaecology
17,nwl52_total,207,207,207,01/12/2022,Gynaecology
17,nwm104_total,0,0,0,01/12/2022,Gynaecology
17,nwm52_total,60,60,60,01/12/2022,Gynaecology
17,nwm78_total,12,12,12,01/12/2022,Gynaecology
17,wl_Deferred,0,0,0,01/12/2022,Gynaecology
17,wl_Planned,0,0,0,01/12/2022,Gynaecology
17,wl_size_active,267,267,267,01/12/2022,Gynaecology
18,nwl104_total,0,0,0,02/12/2022,Gynaecology
18,nwl52_total,206,206,206,02/12/2022,Gynaecology
18,nwm104_total,0,0,0,02/12/2022,Gynaecology
18,nwm52_total,60,60,60,02/12/2022,Gynaecology
18,nwm78_total,12,12,12,02/12/2022,Gynaecology
18,wl_Deferred,0,0,0,02/12/2022,Gynaecology
18,wl_Planned,0,0,0,02/12/2022,Gynaecology
18,wl_size_active,266,266,266,02/12/2022,Gynaecology
19,nwl104_total,0,0,0,03/12/2022,Gynaecology
19,nwl52_total,206,206,206,03/12/2022,Gynaecology
19,nwm104_total,0,0,0,03/12/2022,Gynaecology
19,nwm52_total,60,60,60,03/12/2022,Gynaecology
19,nwm78_total,12,12,12,03/12/2022,Gynaecology
19,wl_Deferred,0,0,0,03/12/2022,Gynaecology
19,wl_Planned,0,0,0,03/12/2022,Gynaecology
19,wl_size_active,266,266,266,03/12/2022,Gynaecology
20,nwl104_total,0,0,0,04/12/2022,Gynaecology
20,nwl52_total,206,206,206,04/12/2022,Gynaecology
20,nwm104_total,0,0,0,04/12/2022,Gynaecology
20,nwm52_total,60,60,60,04/12/2022,Gynaecology
20,nwm78_total,12,12,12,04/12/2022,Gynaecology
20,wl_Deferred,0,0,0,04/12/2022,Gynaecology
20,wl_Planned,0,0,0,04/12/2022,Gynaecology
20,wl_size_active,266,266,266,04/12/2022,Gynaecology
21,nwl104_total,0,0,0,05/12/2022,Gynaecology
21,nwl52_total,204,204,204,05/12/2022,Gynaecology
21,nwm104_total,0,0,0,05/12/2022,Gynaecology
21,nwm52_total,60,60,60,05/12/2022,Gynaecology
21,nwm78_total,12,12,12,05/12/2022,Gynaecology
21,wl_Deferred,0,0,0,05/12/2022,Gynaecology
21,wl_Planned,0,0,0,05/12/2022,Gynaecology
21,wl_size_active,264,264,264,05/12/2022,Gynaecology
22,nwl104_total,0,0,0,06/12/2022,Gynaecology
22,nwl52_total,199,199,199,06/12/2022,Gynaecology
22,nwm104_total,0,0,0,06/12/2022,Gynaecology
22,nwm52_total,61,61,61,06/12/2022,Gynaecology
22,nwm78_total,15,15,15,06/12/2022,Gynaecology
22,wl_Deferred,0,0,0,06/12/2022,Gynaecology
22,wl_Planned,0,0,0,06/12/2022,Gynaecology
22,wl_size_active,260,260,260,06/12/2022,Gynaecology
23,nwl104_total,0,0,0,07/12/2022,Gynaecology
23,nwl52_total,199,199,199,07/12/2022,Gynaecology
23,nwm104_total,0,0,0,07/12/2022,Gynaecology
23,nwm52_total,61,61,61,07/12/2022,Gynaecology
23,nwm78_total,15,15,15,07/12/2022,Gynaecology
23,wl_Deferred,0,0,0,07/12/2022,Gynaecology
23,wl_Planned,0,0,0,07/12/2022,Gynaecology
23,wl_size_active,260,260,260,07/12/2022,Gynaecology
24,nwl104_total,0,0,0,08/12/2022,Gynaecology
24,nwl52_total,200,200,200,08/12/2022,Gynaecology
24,nwm104_total,0,0,0,08/12/2022,Gynaecology
24,nwm52_total,61,61,61,08/12/2022,Gynaecology
24,nwm78_total,15,15,15,08/12/2022,Gynaecology
24,wl_Deferred,0,0,0,08/12/2022,Gynaecology
24,wl_Planned,0,0,0,08/12/2022,Gynaecology
24,wl_size_active,261,261,261,08/12/2022,Gynaecology
25,nwl104_total,0,0,0,09/12/2022,Gynaecology
25,nwl52_total,198,198,198,09/12/2022,Gynaecology
25,nwm104_total,0,0,0,09/12/2022,Gynaecology
25,nwm52_total,62,62,62,09/12/2022,Gynaecology
25,nwm78_total,15,15,15,09/12/2022,Gynaecology
25,wl_Deferred,0,0,0,09/12/2022,Gynaecology
25,wl_Planned,0,0,0,09/12/2022,Gynaecology
25,wl_size_active,260,260,260,09/12/2022,Gynaecology
26,nwl104_total,0,0,0,10/12/2022,Gynaecology
26,nwl52_total,199,199,199,10/12/2022,Gynaecology
26,nwm104_total,0,0,0,10/12/2022,Gynaecology
26,nwm52_total,62,62,62,10/12/2022,Gynaecology
26,nwm78_total,15,15,15,10/12/2022,Gynaecology
26,wl_Deferred,0,0,0,10/12/2022,Gynaecology
26,wl_Planned,0,0,0,10/12/2022,Gynaecology
26,wl_size_active,261,261,261,10/12/2022,Gynaecology
27,nwl104_total,0,0,0,11/12/2022,Gynaecology
27,nwl52_total,197,197,197,11/12/2022,Gynaecology
27,nwm104_total,0,0,0,11/12/2022,Gynaecology
27,nwm52_total,62,62,62,11/12/2022,Gynaecology
27,nwm78_total,15,15,15,11/12/2022,Gynaecology
27,wl_Deferred,0,0,0,11/12/2022,Gynaecology
27,wl_Planned,0,0,0,11/12/2022,Gynaecology
27,wl_size_active,259,259,259,11/12/2022,Gynaecology
28,nwl104_total,0,0,0,12/12/2022,Gynaecology
28,nwl52_total,197,197,197,12/12/2022,Gynaecology
28,nwm104_total,0,0,0,12/12/2022,Gynaecology
28,nwm52_total,62,62,62,12/12/2022,Gynaecology
28,nwm78_total,15,15,15,12/12/2022,Gynaecology
28,wl_Deferred,0,0,0,12/12/2022,Gynaecology
28,wl_Planned,0,0,0,12/12/2022,Gynaecology
28,wl_size_active,259,259,259,12/12/2022,Gynaecology
29,nwl104_total,0,0,0,13/12/2022,Gynaecology
29,nwl52_total,196,196,196,13/12/2022,Gynaecology
29,nwm104_total,0,0,0,13/12/2022,Gynaecology
29,nwm52_total,62,62,62,13/12/2022,Gynaecology
29,nwm78_total,19,19,19,13/12/2022,Gynaecology
